name,alasan
Breastmilk (> 10 days post partum),Susu formula / MPASI pabrikan
kemiri,Kacang / biji / umbi mentah
adonan tepung beras,Tepung / bahan mentah
adonan tepung tapioka,Tepung / bahan mentah
adonan tepung terigu,Tepung / bahan mentah
beras ketan hitam,Tepung / bahan mentah
beras ketan putih giling,Tepung / bahan mentah
beras ketan putih tumbuk,Tepung / bahan mentah
beras merah + beras pth campur,Tepung / bahan mentah
beras merah giling,Tepung / bahan mentah
beras merah tumbuk,Tepung / bahan mentah
beras putih giling,Tepung / bahan mentah
beras putih tumbuk,Tepung / bahan mentah
bihun,Bahan / topping / bukan hidangan utuh
bihun goreng,nama sudah ada di dataset lama
tepung beras ketan putih,Tepung / bahan mentah
tepung beras merah,Tepung / bahan mentah
temu ireng,Bahan / topping / bukan hidangan utuh
tepung beras,Tepung / bahan mentah
tepung kentang,Tepung / bahan mentah
tepung jagung putih,Tepung / bahan mentah
tepung sagu,Tepung / bahan mentah
tepung maizena,Tepung / bahan mentah
tepung jagung kuning,Tepung / bahan mentah
tepung garut / arrowroot,Tepung / bahan mentah
tepung gaplek,Tepung / bahan mentah
tepung tapioka,Tepung / bahan mentah
tepung terigu,Tepung / bahan mentah
blendung/ brontol,Kacang / biji / umbi mentah
ubi jalar merah,Kacang / biji / umbi mentah
ubi jalar kuning,Kacang / biji / umbi mentah
ubi jalar ungu,Kacang / biji / umbi mentah
ubi jalar putih,Kacang / biji / umbi mentah
uwi,Kacang / biji / umbi mentah
campuran beras,Tepung / bahan mentah
cantel,Kacang / biji / umbi mentah
gadung mentah,Tepung / bahan mentah
ganyong mentah,Tepung / bahan mentah
gaplek,Kacang / biji / umbi mentah
garut / irut mentah,Tepung / bahan mentah
gembili / mbolo,Kacang / biji / umbi mentah
jagung kuning pipil baru,Kacang / biji / umbi mentah
jagung kuning pipil lama,Kacang / biji / umbi mentah
jagung kuning segar,Tepung / bahan mentah
jagung muda berjanggel,Kacang / biji / umbi mentah
jagung putih pipil baru,Kacang / biji / umbi mentah
jagung putih pipil lama,Kacang / biji / umbi mentah
jagung putih segar,Tepung / bahan mentah
kathul beras merah,Tepung / bahan mentah
katul beras,Tepung / bahan mentah
kentang,Kacang / biji / umbi mentah
kentang hitam,Kacang / biji / umbi mentah
kimpul mentah,Tepung / bahan mentah
krecek irut,Tepung / bahan mentah
makaroni,Bahan / topping / bukan hidangan utuh
mie ayam,nama sudah ada di dataset lama
mie bakso,nama sudah ada di dataset lama
mie basah,nama sudah ada di dataset lama
mie kering,nama sudah ada di dataset lama
mie kering,nama sudah ada di dataset lama
mie soun,Bahan / topping / bukan hidangan utuh
misoa,Bahan / topping / bukan hidangan utuh
nasi goreng,nama sudah ada di dataset lama
nasi jagung,nama sudah ada di dataset lama
nasi tim,nama sudah ada di dataset lama
nasi uduk,nama sudah ada di dataset lama
pati ganyong,Tepung / bahan mentah
pati irut / kerut,Tepung / bahan mentah
roti pawa rp.50,Nama bukan nama menu
sagu lempeng,Bahan / topping / bukan hidangan utuh
sarimie,Bahan / topping / bukan hidangan utuh
senthe,Kacang / biji / umbi mentah
singkong kuning,Kacang / biji / umbi mentah
singkong oyek,Kacang / biji / umbi mentah
singkong parut,Kacang / biji / umbi mentah
singkong putih,Kacang / biji / umbi mentah
supermie,Bahan / topping / bukan hidangan utuh
suweg mentah,Tepung / bahan mentah
talas mentah,Tepung / bahan mentah
tempe gembus,Bahan / topping / bukan hidangan utuh
tempe kedele busuk,Bahan / topping / bukan hidangan utuh
tempe koro benguk,Bahan / topping / bukan hidangan utuh
tempe koro pedang,Bahan / topping / bukan hidangan utuh
tempe lamtoro,Bahan / topping / bukan hidangan utuh
tepung hunkwee,Tepung / bahan mentah
toge kacang kedele mentah,Tepung / bahan mentah
toge kacang hijau mentah,Tepung / bahan mentah
toge kacang tolo mentah,Tepung / bahan mentah
wijen,Kacang / biji / umbi mentah
gucang,Daging / ikan mentah (bukan hidangan)
gude,Kacang / biji / umbi mentah
jengkol,Kacang / biji / umbi mentah
kacang hijau,Kacang / biji / umbi mentah
kacang kapri mentah,Tepung / bahan mentah
kacang kapri muda mentah,Tepung / bahan mentah
kacang merah,Kacang / biji / umbi mentah
kacang mete  kulit mentah,Tepung / bahan mentah
kacang mete kupas kulit,Kacang / biji / umbi mentah
kacang panjang biji,Kacang / biji / umbi mentah
kacang panjang mentah,Tepung / bahan mentah
kacang tanah kulit,Kacang / biji / umbi mentah
kacang tanah muda kulit,Kacang / biji / umbi mentah
kacang tanah tanpa kulit,Kacang / biji / umbi mentah
kacang tolo (tonggak),Kacang / biji / umbi mentah
kapri muda mentah,Tepung / bahan mentah
kecipir biji,nama sudah ada di dataset lama
kecipir muda mentah,Tepung / bahan mentah
kedele hitam,Kacang / biji / umbi mentah
kedele kuning,Kacang / biji / umbi mentah
kembang tahu mentah,Tepung / bahan mentah
kemiri,Kacang / biji / umbi mentah
ketapang (buah),Kacang / biji / umbi mentah
kluwih biji mentah,Tepung / bahan mentah
koro benguk biji,Kacang / biji / umbi mentah
koro uceng,Kacang / biji / umbi mentah
koro wedus,Kacang / biji / umbi mentah
koro wedus buah muda,Kacang / biji / umbi mentah
lamtoro biji muda,Bahan / topping / bukan hidangan utuh
lamtoro biji tua,Bahan / topping / bukan hidangan utuh
nangka biji,Buah segar
petai segar,Tepung / bahan mentah
tahu,nama sudah ada di dataset lama
tahu goreng,nama sudah ada di dataset lama
air kelapa tua,Minuman
ampas kelapa,Tepung / bahan mentah
anggur hutan,Buah segar
apel,Buah segar
arbei,Buah segar
asam mangga,Buah segar
asam masak di pohon,Buah segar
belimbing,Buah segar
belimbing wuluh,Buah segar
buah pisang susu,Buah segar
bungkil kelapa,Tepung / bahan mentah
cempedak,nama sudah ada di dataset lama
cerme,Buah segar
cimplukan,Buah segar
cipleng / jeblokan,Buah segar
duku,Buah segar
durian,Buah segar
duwet,Buah segar
gori / nangka muda mentah,Tepung / bahan mentah
jambu air,Buah segar
jambu biji,Buah segar
jambu bol,Buah segar
jambu monyet buah,Buah segar
jantung pisang,Buah segar
jeruk bali,Buah segar
jeruk garut,Buah segar
jeruk manis,Buah segar
jeruk nipis,Buah segar
jus alpukat,Minuman
jus tomat,Minuman
kasreng,Buah segar
kedondong masak,Buah segar
kedondong muda,Buah segar
kelapa 1/2 tua daging,Kacang / biji / umbi mentah
kelapa ampas,Kacang / biji / umbi mentah
kelapa muda air,Kacang / biji / umbi mentah
kelapa muda daging,Kacang / biji / umbi mentah
kelapa muda daging + air,Kacang / biji / umbi mentah
kelapa parutan,Kacang / biji / umbi mentah
kelapa tua daging,Kacang / biji / umbi mentah
kelengkeng,Buah segar
kembang turi rebus belu,Sayur / daun mentah
kenthos kelapa,Kacang / biji / umbi mentah
kepel,Buah segar
kesemek / buah genit,Buah segar
kluwih mentah,Tepung / bahan mentah
kokosan,Buah segar
kolang kaling,Minuman
kulit melinjo,Tepung / bahan mentah
kurma,Buah segar
langsat,Buah segar
mangga gedong / gadung,Buah segar
mangga golek,Buah segar
mangga harum manis,Buah segar
mangga indramayu,Buah segar
mangga keong masak,Buah segar
mangga kopek,Buah segar
mangga kopyor,Buah segar
mangga krasak,Buah segar
mangga kuweni,Buah segar
mangga masak,Buah segar
mangga muda,Buah segar
mangga nanas,Buah segar
mangga pakel,Buah segar
mangga sengir masak,Buah segar
mangga sepat,Buah segar
mangga telo,Buah segar
manggis,Buah segar
matuwa,Buah segar
melinjo (buah),Buah segar
menteng / kemundung,Buah segar
nanas,Buah segar
nangka masak di pohon,Buah segar
pepaya,Buah segar
pepaya muda mentah,Tepung / bahan mentah
pisang ambon,Buah segar
pisang ambon hong matang,Buah segar
pisang ambon mentah,Tepung / bahan mentah
pisang angle,Buah segar
pisang asem matang,Buah segar
pisang hijau,Buah segar
pisang jambe,Buah segar
pisang jeklek,Buah segar
pisang kapok gembrot,Buah segar
pisang kapok kuning,Buah segar
pisang kele,Buah segar
pisang kepok,Buah segar
pisang kepok bawen / suluh,Buah segar
pisang kepok bawen mentah,Tepung / bahan mentah
pisang kepok kuning mentah,Tepung / bahan mentah
pisang kepok putih mentah,Tepung / bahan mentah
pisang klutuk matang,Buah segar
pisang kreak matang,Buah segar
pisang mas,Buah segar
pisang potho,Buah segar
pisang potho mentah,Tepung / bahan mentah
pisang prasmen,Buah segar
