id,calories,proteins,fat,carbohydrate,name,image
1347,372,15.6,6.0,64.8,bubur buatan pabrik,
1348,169,3.1,0.3,37.2,intip,
1349,222,2.5,17.1,15.2,martabak manis,
1350,148,11.7,2.0,19.8,mie + bakso (6) + kuah,
1351,141,4.8,0.7,28.3,mie + kuah,
1352,130,2.4,0.2,28.6,nasi liwet,
1353,101,2.4,0.2,22.0,nasi lunak and kangkung,
1354,130,2.4,0.2,28.6,nasi putih,
1355,130,2.4,0.2,28.6,nasi putih kukus,
1356,65,1.2,0.1,14.3,nasi soto,
1357,140,5.8,3.0,21.5,nasi tim ayam,
1358,100,2.1,0.2,21.8,nasi tim bayam,
1359,155,5.4,4.8,21.5,nasi tim daging,
1360,105,2.0,0.2,23.2,nasi tim wortel kentang,
1361,207,4.4,2.0,42.9,nastar,
1362,284,8.6,4.3,52.5,roti bakar meises,
1363,284,8.6,4.3,52.5,roti choklat,
1364,285,10.3,5.8,46.7,roti daging,
1365,396,7.0,22.4,41.5,roti goreng,
1366,258,8.7,2.8,48.8,roti isi kac ijo,
1367,252,7.5,2.6,49.1,roti isi nanas,
1368,252,7.5,2.6,49.1,roti isi strawberry,
1369,280,9.6,4.5,49.4,roti keju,
1370,284,8.6,4.3,52.5,roti kukis,
1371,285,7.9,2.7,56.7,roti manis,
1372,284,8.6,4.3,52.5,roti mocca,
1373,284,8.6,4.3,52.5,roti mukka special,
1374,147,3.3,1.3,32.0,roti pisang,
1375,280,8.4,2.9,54.3,roti selei nenas,
1376,183,5.0,2.0,36.0,roti sisir,
1377,183,5.0,2.0,36.0,roti surabaya,
1378,306,10.8,6.2,51.0,roti susu,
1379,274,8.8,3.0,51.9,roti tawar,
1380,285,7.9,2.7,56.7,roti tawar manis,
1381,199,19.0,7.7,17.0,tempe kedele murni,
1382,337,19.0,23.7,17.0,tempeh goreng,
1383,76,8.1,4.8,1.9,pepes tahu,
1384,180,5.7,13.4,11.3,sayur tahu,
1385,265,15.9,17.0,16.7,sayur tempe,
1386,137,13.7,4.5,10.6,semur tahu,
1387,39,0.6,0.1,9.8,setup pepaya,
1388,53,0.9,5.1,1.5,tumis selada air kangkung,
1389,28,1.7,2.1,1.6,tumis sawi,
1390,93,2.0,0.1,21.6,sate kentang,
1391,37,1.6,0.5,8.3,sayur bayam jagung,
1392,19,1.0,0.1,4.1,sayur bayam wortel,
1393,33,1.2,0.3,7.5,sayur bening campur,
1394,25,0.3,0.2,6.3,sayur buah kelor,
1395,11,0.5,0.2,2.3,sayur caisin,
1396,11,0.5,0.2,2.3,sayur cokka-cokka,
1397,62,1.9,5.1,3.7,sayur daun singkong,
1398,30,0.1,0.2,7.7,sayur gambas,
1399,294,17.6,23.3,3.4,sayur gulai daging,
1400,11,1.6,0.1,1.5,sayur kangkung,
1401,14,0.5,0.5,2.3,sayur labu,
1402,56,1.9,3.4,6.0,sayur lodeh,
1403,66,6.5,1.7,5.8,sayur sop daging cincang wortel,
1404,127,6.5,7.0,10.5,sayur sop macaroni,
1405,97,4.0,6.4,7.2,sayur soun,
1406,118,8.9,2.3,15.4,semur kentang,
1407,191,12.0,15.1,1.0,telur ceplok,
1408,187,11.5,14.7,1.2,telur dadar,
1409,191,12.0,15.1,1.0,telur goreng,
1410,155,12.6,10.6,1.1,telur asin,
1411,185,12.8,13.8,1.5,telur burung sawah,
1412,271,12.8,23.8,1.5,telur itik dadar,
1413,170,10.4,13.3,2.4,telur orak arik,
1414,151,11.1,10.5,2.7,sayur telur,
1415,370,23.5,29.9,0.1,bakso bihun,
1416,370,23.5,29.9,0.1,bakso pentol,
1417,495,1.0,50.0,10.8,buras daging kentang,
1418,314,25.6,23.0,0.0,sate ayam,
1419,405,22.9,34.4,0.0,sate cekek,
1420,72,5.9,3.8,3.4,sayur sop ayam,
1421,221,11.1,16.2,15.5,semur daging,
1422,208,3.7,0.4,45.7,baso somay,
1423,101,14.8,4.3,0.0,tumis ikan teri,
1424,245,53.1,2.0,0.0,ikan asin belanak,
1425,245,53.1,2.0,0.0,ikan asin bilis,
1426,245,53.1,2.0,0.0,ikan asin gabus,
1427,162,13.0,12.0,0.0,ikan asin goreng,
1428,159,16.3,10.4,0.0,ikan asin japuh,
1429,245,53.1,2.0,0.0,ikan asin juwi,
1430,84,18.2,0.7,0.0,ikan asin kacangan,
1431,112,21.4,2.3,0.0,ikan asin kembung,
1432,84,18.2,0.7,0.0,ikan asin layur,
1433,84,18.2,0.7,0.0,ikan asin pari,
1434,84,14.8,2.3,0.0,ikan asin pepetek,
1435,162,22.9,7.2,0.0,ikan asin selar,
1436,84,18.2,0.7,0.0,ikan asin serinding,
1437,84,18.2,0.7,0.0,ikan asin terbang,
1438,335,58.6,9.4,0.0,ikan asin teri,
1439,245,53.1,2.0,0.0,ikan asin terongan,
1440,245,53.1,2.0,0.0,ikan asin wader / memreng,
1441,74,13.0,2.0,0.0,ikan awu-awu bakar,
1442,162,13.0,12.0,0.0,ikan banyara goreng,
1443,162,13.0,12.0,0.0,ikan cepa-cepa goreng,
1444,74,13.0,2.0,0.0,ikan cue,
1445,272,26.0,12.3,12.6,ikan cumi basah goreng,
1446,160,13.0,12.0,0.0,ikan goreng,
1447,202,16.0,15.0,0.0,ikan kembung goreng,
1448,218,16.7,15.7,2.9,ikan mas bumbu kuning,
1449,112,21.4,2.3,0.0,ikan peda asin banjar,
1450,112,21.4,2.3,0.0,ikan pindang banjar,
1451,105,22.8,0.9,0.0,ikan pindang benggol,
1452,112,21.4,2.3,0.0,ikan pindang juwi,
1453,140,26.7,2.9,0.0,ikan pindang kembung,
1454,105,22.8,0.9,0.0,ikan pindang layang,
1455,277,22.8,20.9,0.0,ikan pindang layang goreng,
1456,140,26.7,2.9,0.0,ikan pindang selar kecil,
1457,335,58.6,9.4,0.0,ikan teri asin kering,
1458,111,24.0,1.0,0.0,ikan tongkol pindang,
1459,341,24.6,26.5,0.0,sardines,
1460,133,18.8,5.8,0.4,sayur tude,
1461,363,5.3,20.5,39.2,aci tusuk,
1462,249,9.8,6.7,36.3,bakpau daging,
1463,370,23.5,29.9,0.1,bakso daging sapi,
1464,370,23.5,29.9,0.1,baso,
1465,411,22.2,35.2,0.0,baso goreng,
1466,194,5.9,1.4,38.4,baso kojak,
1467,152,12.1,11.3,1.4,batagor,
1468,237,10.8,15.0,17.6,tempe bacem,
1469,100,9.6,3.9,8.6,tempe oreg/sayur tempe/sambal tempe,
1470,185,1.2,2.6,40.8,ubi goreng,
1471,401,1.8,26.1,40.9,uli goreng,
1472,188,2.2,4.2,35.5,uli kukus,
1473,188,2.2,4.2,35.5,wajik,
1474,188,2.2,4.2,35.5,wingka/wingko,
1475,207,4.4,2.0,42.9,cake,
1476,76,0.1,0.0,18.3,cendil/ondal-andil/cendol,
1477,294,8.3,5.7,53.1,choklat eclair,
1478,22,0.3,0.9,3.4,choklat jelly,
1479,256,7.8,8.0,38.9,cilok,
1480,363,5.3,20.5,39.2,cireng,
1481,540,5.3,40.5,39.2,cireng/bakwan,
1482,158,6.7,12.0,8.5,corn bose and kacang tanah,
1483,401,1.8,26.1,40.9,cucur,
1484,332,26.2,23.1,3.7,daging ayam goreng,
1485,449,23.8,29.8,22.2,daging sapi rebus,
1486,188,2.2,4.2,35.5,dodol garut,
1487,181,2.1,4.2,34.1,dodol mannga,
1488,188,2.2,4.2,35.5,dodongkal,
1489,400,5.2,21.8,46.3,donat,
1490,483,2.2,25.6,63.8,geblek pati,
1491,225,1.3,6.9,41.6,geblog ubi,
1492,401,1.8,26.1,40.9,gembong/jalabia,
1493,185,1.2,2.6,40.9,getuk,
1494,188,2.2,4.2,35.5,jalabia,
1495,364,2.6,0.7,88.5,kerupuk gaplek,
1496,381,0.3,0.1,91.3,kerupuk ketan putih,
1497,301,2.5,0.7,73.4,kerupuk legender,
1498,288,2.4,0.7,70.2,kerupuk singkong,
1499,288,2.4,0.7,70.2,kerupuk singkong pedas,
1500,20,0.4,0.0,4.3,ketupat,
1501,205,3.4,4.2,38.7,koci,
1502,185,1.2,2.6,40.8,krawu ubi,
1503,436,7.2,13.7,70.4,krupuk asin,
1504,527,3.0,30.3,59.7,krupuk bala bala,
1505,356,3.2,3.4,80.7,krupuk makanan ringan sinbad,
1506,527,3.0,30.3,59.7,krupuk mlarat,
1507,527,3.0,30.3,59.7,krupuk pasir,
1508,527,3.0,30.3,59.7,krupuk raja udang bandeng,
1509,527,3.0,30.3,59.7,krupuk rambakl,
1510,527,3.0,30.3,59.7,krupuk sambal udang,
1511,248,15.2,16.2,13.6,krupuk tempe,
1512,527,3.0,30.3,59.7,krupuk udang,
1513,468,1.8,32.9,44.3,kue bangke mentga,
1514,175,5.1,0.5,37.2,kue bapuk/bakpau,
1515,188,2.2,4.2,35.5,kue baruasa,
1516,203,2.5,4.2,39.0,kue bipan,
1517,207,4.4,2.0,42.9,kue bolu,
1518,207,4.4,2.0,42.9,kue bolu coklat bundar,
1519,207,4.4,2.0,42.9,kue bolu gulung,
1520,236,4.1,3.2,47.2,kue bolu kacang,
1521,207,4.4,2.0,42.9,kue bolu kenari,
1522,207,4.4,2.0,42.9,kue bolu kering,
1523,207,4.4,2.0,42.9,kue bolu kukus,
1524,174,3.8,0.3,38.3,kue cikak,
1525,188,2.2,4.2,35.5,kue dadar,
1526,289,5.7,8.4,48.3,kue dadar gulung,
1527,345,5.7,12.9,52.9,kue endog-endogan/onde- onde,
1528,401,1.8,26.1,40.9,kue gelangan/jalabria,
1529,188,2.2,4.2,35.5,kue gonjing/kue pancong,
1530,250,2.2,7.8,43.9,kue jalankote,
1531,188,2.2,4.2,35.5,kue janda,
1532,188,2.2,4.2,35.5,kue kambeng-kambeng,
1533,188,2.2,4.2,35.5,kue kareri sala,
1534,403,5.7,22.9,44.3,kue lapis,
1535,403,5.7,22.9,44.3,kue lapis legit,
1536,503,2.2,25.6,69.0,kue lemet,
1537,188,2.2,4.2,35.5,kue mangkok/cimplo/apem,
1538,185,2.1,2.8,39.9,kue nagasari,
1539,289,4.0,13.6,38.4,kue pancong,
1540,279,3.5,12.7,39.4,kue pati singkong goreng,
1541,227,4.2,0.8,52.2,kue pia kac. ijo,
1542,248,2.6,0.3,58.1,kue pisang ijo + kuah,
1543,289,4.0,13.6,38.4,kue putri salju,
1544,188,2.2,4.2,35.5,kue putu beras,
1545,207,4.4,2.0,42.9,kue sakura,
1546,217,7.8,8.0,28.9,kue timus,
1547,207,4.4,2.0,42.9,kue uler-uleran,
1548,198,4.7,5.7,32.1,lemper bakar,
1549,83,4.9,5.6,4.8,lodeh tahu and tempe,
1550,188,2.2,4.2,35.5,lontong,
1551,188,2.2,4.2,35.5,lopis ketan,
1552,126,5.0,3.7,17.7,lumpia,
