id,name,berkas_commons,image_lama,image_baru
138,Bihun Goreng ,File:Bihun goreng vegetarian Siti Fang Fang.jpg,https://img.kurio.network/ZxAfF4qJQbpTcsTwVZ5fxE-8_no=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/10/17/f29f0fe9-7b93-498a-a6fe-2e0abc82e509.jpe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Bihun_goreng_vegetarian_Siti_Fang_Fang.jpg/500px-Bihun_goreng_vegetarian_Siti_Fang_Fang.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
397,Gulai kambing,File:Gulai kambing masakan Padang.JPG,https://kbu-cdn.com/dk/wp-content/uploads/gulai-kambing.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Gulai_kambing_masakan_Padang.JPG/500px-Gulai_kambing_masakan_Padang.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
926,Nasi jagung,File:Nasi jagung dan lauk.jpg,https://tokohinspiratif.id/wp-content/uploads/2019/03/WhatsApp-Image-2019-03-25-at-16.10.19-1280x640.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Nasi_jagung_dan_lauk.jpg/500px-Nasi_jagung_dan_lauk.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1154,Soto betawi masakan,File:SOTO BETAWI.jpg,https://www.unileverfoodsolutions.co.id/dam/global-ufs/mcos/SEA/calcmenu/recipes/ID-recipes/soups/soto-betawi/main-header.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/SOTO_BETAWI.jpg/500px-SOTO_BETAWI.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1350,mie + bakso (6) + kuah,File:Mie Ayam Ekstra Telur Bakso.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Mie_Ayam_Ekstra_Telur_Bakso.jpg/500px-Mie_Ayam_Ekstra_Telur_Bakso.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1352,nasi liwet,File:Nasi Liwet Solo.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Nasi_Liwet_Solo.jpg/500px-Nasi_Liwet_Solo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1356,nasi soto,File:Nasi Soto Ayam.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Nasi_Soto_Ayam.jpg/500px-Nasi_Soto_Ayam.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1357,nasi tim ayam,File:Nasi Tim Ayam in Jakarta.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Nasi_Tim_Ayam_in_Jakarta.jpg/500px-Nasi_Tim_Ayam_in_Jakarta.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1358,nasi tim bayam,File:Nasi Tim Ayam in Jakarta.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Nasi_Tim_Ayam_in_Jakarta.jpg/500px-Nasi_Tim_Ayam_in_Jakarta.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1359,nasi tim daging,File:Nasi Tim Ayam in Jakarta.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Nasi_Tim_Ayam_in_Jakarta.jpg/500px-Nasi_Tim_Ayam_in_Jakarta.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1360,nasi tim wortel kentang,File:Nasi Tim Ayam in Jakarta.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Nasi_Tim_Ayam_in_Jakarta.jpg/500px-Nasi_Tim_Ayam_in_Jakarta.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1365,roti goreng,File:Roti tenong goreng.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Roti_tenong_goreng.jpg/500px-Roti_tenong_goreng.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1389,tumis sawi,File:Tumis sawi putih.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Tumis_sawi_putih.jpg/500px-Tumis_sawi_putih.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1391,sayur bayam jagung,File:Sayur bening bayam jagung.JPG,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Sayur_bening_bayam_jagung.JPG/500px-Sayur_bening_bayam_jagung.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1393,sayur bening campur,File:Sayur bening bayam jagung.JPG,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Sayur_bening_bayam_jagung.JPG/500px-Sayur_bening_bayam_jagung.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1401,sayur labu,File:Sayur labu Desa Sade.JPG,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Sayur_labu_Desa_Sade.JPG/500px-Sayur_labu_Desa_Sade.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1404,sayur sop macaroni,File:Bumbu Sayur Sop.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Bumbu_Sayur_Sop.jpg/500px-Bumbu_Sayur_Sop.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1406,semur kentang,File:Semur kentang 3.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Semur_kentang_3.jpg/500px-Semur_kentang_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1409,telur goreng,File:Telur goreng.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Telur_goreng.jpg/500px-Telur_goreng.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1412,telur itik dadar,File:Telur Itik Masak Lemak Cili Api.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Telur_Itik_Masak_Lemak_Cili_Api.jpg/500px-Telur_Itik_Masak_Lemak_Cili_Api.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1414,sayur telur,File:Rebusan sayur dan telur.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Rebusan_sayur_dan_telur.jpg/500px-Rebusan_sayur_dan_telur.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1415,bakso bihun,File:Bakso mi bihun.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Bakso_mi_bihun.jpg/500px-Bakso_mi_bihun.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1418,sate ayam,File:Sate ayam lima ribu rupiah.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Sate_ayam_lima_ribu_rupiah.jpg/500px-Sate_ayam_lima_ribu_rupiah.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1420,sayur sop ayam,File:Bumbu Sayur Sop.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Bumbu_Sayur_Sop.jpg/500px-Bumbu_Sayur_Sop.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1427,ikan asin goreng,File:Goreng ikan gabus.JPG,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Goreng_ikan_gabus.JPG/500px-Goreng_ikan_gabus.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1443,ikan cepa-cepa goreng,File:Grilling ikan cepa' Sengkang South Sulawesi.JPG,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Grilling_ikan_cepa%27_Sengkang_South_Sulawesi.JPG/500px-Grilling_ikan_cepa%27_Sengkang_South_Sulawesi.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1445,ikan cumi basah goreng,File:Ikan Bakar dan Cumi Goreng.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Ikan_Bakar_dan_Cumi_Goreng.jpg/500px-Ikan_Bakar_dan_Cumi_Goreng.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1446,ikan goreng,File:Ikan Goreng Khas Parapat Sumatra Utara.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Ikan_Goreng_Khas_Parapat_Sumatra_Utara.jpg/500px-Ikan_Goreng_Khas_Parapat_Sumatra_Utara.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1447,ikan kembung goreng,File:Ikan kembung bakar.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Ikan_kembung_bakar.jpg/500px-Ikan_kembung_bakar.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1467,batagor,File:Batagor vendor 4.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Batagor_vendor_4.jpg/500px-Batagor_vendor_4.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1470,ubi goreng,File:Ubi Goreng Isi Inti.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Ubi_Goreng_Isi_Inti.jpg/500px-Ubi_Goreng_Isi_Inti.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1484,daging ayam goreng,File:Daging-ayam-ungkep.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Daging-ayam-ungkep.jpg/500px-Daging-ayam-ungkep.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1525,kue dadar,File:Kue Dadar Gulung Coklat.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Kue_Dadar_Gulung_Coklat.jpg/500px-Kue_Dadar_Gulung_Coklat.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1526,kue dadar gulung,File:Kue Dadar Gulung Coklat.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Kue_Dadar_Gulung_Coklat.jpg/500px-Kue_Dadar_Gulung_Coklat.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1550,lontong,File:Lontong Daun.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Lontong_Daun.jpg/500px-Lontong_Daun.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1563,rawon,"File:Rawon, Kedai Juragan, BG Junction, 2025 (02).jpg",,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Rawon%2C_Kedai_Juragan%2C_BG_Junction%2C_2025_%2802%29.jpg/500px-Rawon%2C_Kedai_Juragan%2C_BG_Junction%2C_2025_%2802%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1571,bubur ayam,File:Bubur Ayam Sukabumi.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Bubur_Ayam_Sukabumi.jpg/500px-Bubur_Ayam_Sukabumi.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
1574,bubur kacang hijau with coconut milk,File:Bubur kacang Hijau.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Bubur_kacang_Hijau.jpg/500px-Bubur_kacang_Hijau.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
